Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Western Gateway - Severn Estuary Commission Request for Proposals: Socio-economic,Western Gateway,  Opportunity,  Open,  United Kingdom,"  24 May 2024,  5pm","  £100,000",  25 April 2024
Provision of Insurance and related services to Watmos Community Homes,Watmos Community Homes,  Opportunity,  Open,  Any region,"  28 May 2024,  5pm","  £1,500,000",  25 April 2024
Sexual & Reproductive Health Insights,Cornwall Council,  Opportunity,  Open,  United Kingdom,"  24 May 2024, 11:59pm","  £80,000",  25 April 2024
RA341227 - Abbott Service Contract,Sandwell West Birmingham Hospitals NHS Trust,  Opportunity,  Open,  B18 7QH,"   3 May 2024,  5:30pm",  £0,  25 April 2024
711280452 Electro-Magnetic Detect and Defeat (EMDaD) SME,Ministry of Defence,  Opportunity,  Open,  Any region,"  25 June 2024,  5pm","  £2,700,000",  25 April 2024
GB-London: Occupation Therapy within Local Authority Teams,Local Government Association,  Opportunity,  Open,  Any region,"  23 May 2024,  5pm","  £10,000 to £25,000",  25 April 2024
Contractor for Redruth Former Library,REDRUTH FORMER LIBRARY CIC,  Opportunity,  Open,  TR15 2QE,"  16 May 2024, 12pm","  £0 to £256,000","  19 April 2024, last edited 25 April 2024"
Learning Management System,The Royal Orthopaedic Hospital NHS Foundation Trust,  Opportunity,  Open,  B31 2AP,"  14 May 2024,  1pm",  £0,"   5 April 2024, last edited 25 April 2024"
Contractor for Redruth Former Library,REDRUTH FORMER LIBRARY CIC,  Opportunity,  Open,  TR15 2QE,"   5 May 2024, 12pm","  £0 to £45,000",  25 April 2024
CA13981 - Hackney Redevelopment Works,New City College,  Opportunity,  Open,  E14 0AF,"  31 May 2024, 12pm",  £0,  25 April 2024
Tees Valley Education Trust ~ Catering Tender,Tees Valley Education Trust,  Opportunity,  Open,  Yorkshire and the Humber,"   7 June 2024, 12pm","  £2,500,000",  25 April 2024
Grave Digging,Hailsham Town Council - Main Number,  Opportunity,  Open,  South East,"  24 May 2024,  5pm","  £30,000 to £35,000","  11 April 2024, last edited 25 April 2024"
"Creation of a woodland landscape for the ""Memorial to the Missing"" at Brookwood Military Cemetery",COMMONWEALTH WAR GRAVES COMMISSION,  Opportunity,  Open,  GU24 0JD,"  24 May 2024, 12pm",  £0,"  25 April 2024, last edited 25 April 2024"
"Creation of a ""Memorial to the Missing"" at Brookwood Military cemetery",COMMONWEALTH WAR GRAVES COMMISSION,  Opportunity,  Open,  GU24 0JD,"  24 May 2024, 12pm",  £0,"  25 April 2024, last edited 25 April 2024"
Phased ward corridor ceiling replacement,Simply Serve Limited,  Opportunity,  Open,  BA21 4AT,"  28 May 2024, 12pm","  £320,000",  25 April 2024
To supply a managed service for street marshals,Taunton Town Council,  Opportunity,  Open,  TA1 1HE,"  30 May 2024,  5pm","  £35,000 to £40,000",  25 April 2024
Environments - Data Obfuscation,The University of Manchester,  Opportunity,  Open,  M13 9PL,"  24 May 2024, 12pm","  £400,000 to £600,000",  25 April 2024
Traffic Data Store 2024 SMT,Somerset Council,  Early engagement,  Open,  England,  14 May 2024,Publication date 25 April 2024,None
British Library Security Systems Consultant,British Library,  Opportunity,  Open,  Any region,"  30 May 2024, 12am","  £625,000",  25 April 2024
Key Stage 4 (KS4) Pupils Excluded from Wirral Schools,Wirral Borough Council,  Opportunity,  Open,  England,"  22 May 2024,  5pm","  £8,100,000",  24 April 2024
Wickham Recreation Ground - Replacement Pavilion,Wickham Parish Council,  Opportunity,  Open,  PO14 5DE,"   3 June 2024, 11pm","  £150,000 to £200,000",  24 April 2024
Framework for New Build Construction and Development Projects,CURO GROUP (ALBION) LIMITED,  Opportunity,  Open,  South West,"  28 May 2024, 12pm","  £0 to £170,000,000",  24 April 2024
Flooring supply and fit following kitchen and bathroom Re-fit,Progress Housing Group,  Opportunity,  Open,  England,"  23 May 2024, 12pm","  £480,000",  24 April 2024
2024-030,Ofgem,  Opportunity,  Open,  Any region,"  29 May 2024, 12pm",  £0,  24 April 2024
Rural Grass Cutting Services,City of York Council,  Opportunity,  Open,  Yorkshire and the Humber,"  22 May 2024, 12pm",  £0,  24 April 2024
"Cornwall Wildlife Trust Renewables: Solar Panels, Batteries, Air Source Heat Pumps and Replacement Radiators",Cornwall Wildlife Trust,  Opportunity,  Open,  South West,"   6 June 2024,  5pm","  £90,000 to £110,000",  24 April 2024
Wokingham Town Centre Wayfinding,Wokingham Borough Council,  Opportunity,  Open,  South East,"  13 May 2024, 12pm","  £107,240",  24 April 2024
Construction of Equipment Storage Building,Little Marlow Parish Council,  Opportunity,  Open,  SL7 3RS,"  20 May 2024, 12pm","  £20,000","  24 April 2024, last edited 24 April 2024"
CPT_24_08 Audit Data Extraction and Analysis Automation services,National Audit Office,  Opportunity,  Open,  Any region,"  29 May 2024, 12pm","  £350,000",  24 April 2024
Home Composting Volunteer Programme,Leicestershire County Council,  Early engagement,  Open,  East Midlands,   8 May 2024,Publication date 24 April 2024,None
Independent Visiting Service,Wokingham Borough Council,  Opportunity,  Open,  United Kingdom,"  27 May 2024, 12pm","  £150,000",  24 April 2024
e-ITT for Textile Collection and Recycling Services - Fareham Borough,Fareham Borough Council,  Opportunity,  Open,  PO16 7AZ,"  20 May 2024, 12pm",  £0,  24 April 2024
Sports Centre Pool Filters,UNIVERSITY OF SALFORD(THE),  Opportunity,  Open,  M5 4WT,"   6 May 2024, 12pm","  £150,000",  24 April 2024
Playground equipment Folders Meadow,Burgess Hill Town Council,  Opportunity,  Open,  RH15 0NA,"  15 May 2024, 12pm","  £40,000 to £45,000",  24 April 2024
CP2513-24 Restoring Stover Park Project: Partial Restoration of The Serpentine Lake - Contractor Role,Devon County Council,  Opportunity,  Open,  England,"  15 May 2024, 12pm","  £60,000",  24 April 2024
"Daily & Periodic Cleaning Services   Tanner Row, York",Historic England,  Opportunity,  Open,  SN2 2EH,"   1 May 2024,  5pm","  £0 to £82,000","  27 March 2024, last edited 24 April 2024"
Unlocking Space for Dual Use  Request for Information,UK SPACE AGENCY,  Early engagement,  Open,  United Kingdom,  27 May 2024,Publication date 24 April 2024,None
Residential Development -  Architectural Services,Wiltshire Council,  Opportunity,  Open,  England,"  22 May 2024, 12pm","  £58,000","  24 April 2024, last edited 24 April 2024"
TEC Partnership - Refurbishment of the Hospitality Block,TEC Partnership,  Opportunity,  Open,  DN34 5BQ,"  22 May 2024, 12pm",  £0,"  24 April 2024, last edited 24 April 2024"
NHS South Yorkshire ICB - Adult Eating Disorder - PIN,NHS South Yorkshire ICB,  Early engagement,  Open,  S9 4EU,   6 May 2024,Publication date 24 April 2024,None
"Supported Accommodation and Floating Support Service for Young Children, Young People and Families or Parents to be",City of Doncaster Council,  Opportunity,  Open,  DN1 3BU,"  28 May 2024,  4:30pm","  £1,260,000 to £2,100,000",  24 April 2024
Attribute survey in the East of North England Forest District,FORESTRY COMMISSION,  Opportunity,  Open,  North East,"  31 May 2024,  2pm","  £20,000",  24 April 2024
NCC1331 Holy Island Sustainable Travel and Transport Study,Northumberland County Council,  Opportunity,  Open,  North East,"  15 May 2024, 12pm","  £60,000",  24 April 2024
GB-London: Good Cause Summaries - Business Analysis and Solution Design,National Heritage Memorial Fund,  Opportunity,  Open,  Any region,"   9 May 2024, 12pm","  £25,000 to £50,000",  24 April 2024
NCC1241 - Rodsley Court Radiator Repairs,Northumberland County Council,  Opportunity,  Open,  North East,"  22 May 2024, 12pm","  £84,000",  24 April 2024
Trenance Play Area Newquay - Play Equipment,Corserv Limited,  Opportunity,  Open,  England,"  21 May 2024,  2pm","  £120,000","  16 April 2024, last edited 24 April 2024"
Leisure Management System,University of Cumbria,  Opportunity,  Open,  LA1 3JD,"  13 May 2024, 12pm",  £0,"  22 April 2024, last edited 24 April 2024"
"GB-OFD Loch Striven, Argyll: OPA T637 F44 10"" Pipeline Composite Wrap Repairs","OPA T637 OFD Loch Striven F44 10"" Pipeline Composite Wrap Repairs",  Opportunity,  Open,  Any region,"  28 May 2024, 12pm","  £50,000 to £100,000",  24 April 2024
GB-London: a guidebook and toolkit,Improvement and Development Agency for Local Government,  Opportunity,  Open,  Any region,"   2 May 2024,  9am","  £25,000 to £50,000",  24 April 2024
42 Brook Street Blackpool £15k - £400k BHC Building and Refurbishment Framework,Blackpool Council,  Early engagement,  Open,  England,  24 July 2024,Publication date 24 April 2024,None
Design Panel,National Highways,  Opportunity,  Open,  Any region,"   8 May 2024, 12pm",  £0,  24 April 2024
Surface Seal Lockchip Treatment Works 2024,Corserv Limited,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £120,000",  24 April 2024
RA341206 - Pressure Relief AFO Adjustable,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"   9 May 2024,  1pm",  £0,  24 April 2024
Asbestos Removals,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 May 2024, 12pm","  £2,070,000",  24 April 2024
Market Consultation - Community Safety Case Management Application,Portsmouth City Council,  Opportunity,  Open,  PO1 2BJ,"   8 May 2024,  5pm",  £0,"  10 April 2024, last edited 24 April 2024"
Pebsham  inclusive play area,Bexhill-on-Sea Town Council,  Opportunity,  Open,  TN40 2SN,"   1 June 2024, 11:59pm","  £80,000 to £140,000","  15 April 2024, last edited 24 April 2024"
Internal & External Audit,London Metropolitan University,  Opportunity,  Open,  N7 8DB,"  10 May 2024,  3pm",  £0,"   9 April 2024, last edited 24 April 2024"
A Framework Agreement for the Provision of Independent Fostering Agency (IFA) Services,Southampton City Council,  Opportunity,  Open,"  South East, South West, Wales","  15 August 2024, 12pm","  £400,000,000 to £750,000,000","  28 July 2021, last edited 24 April 2024"
Bewsey Lodge Primary School Replacement and Upgrade of Lighting,Warrington Borough Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £150,000",  24 April 2024
28 - 34 Oatfield Road External Works V2,Stroud District Council,  Opportunity,  Open,  England,"  17 May 2024,  2pm","  £60,000 to £90,000",  24 April 2024
Independent Advocacy Services in the Bradford District,City of Bradford Metropolitan District Council,  Opportunity,  Open,  Yorkshire and the Humber,"  28 May 2024, 12pm","  £3,049,600",  24 April 2024
COV/CSW - Coventry and Warwickshire Suicide Bereavement Support Service 2024,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  24 May 2024, 12pm","  £0 to £402,000",  24 April 2024
External Audit Services,Plymouth Community Homes,  Opportunity,  Open,  PL6 5DH,"  24 May 2024, 12pm","  £0 to £350,000",  24 April 2024
GB-London: Creative Development for the National Recruitment Campaign for Local Government,Improvement and Development Agency for Local Government,  Opportunity,  Open,  Any region,"  15 May 2024,  5pm","  £50,000 to £100,000",  24 April 2024
EOI: Education Otherwise than at School (EOTAS) in Blackpool.,Blackpool Council,  Early engagement,  Open,  England,  15 May 2024,Publication date 24 April 2024,None
Employment Land Review Tender Brief,Lancaster City Council,  Opportunity,  Open,  North West,"  20 May 2024, 12pm",  £1,"  22 April 2024, last edited 24 April 2024"
"Platform Housing are a housing association with 96 of offices and schemes across the Midlands that require a range of ""Office Supplies"" including Stationery, Canteen Supplies, Office Furniture and Cleaning Consumables.",Platform Housing Group,  Opportunity,  Open,  B37 7YD,"  24 May 2024, 12pm","  £350,000",  24 April 2024
Critical appraisal of agri-environment scheme actions for achieving biodiversity targets,Office for Environmental Protection,  Opportunity,  Open,  WR5 2QT,"  21 May 2024, 11:45pm","  £60,000 to £100,000",  24 April 2024
Establishing the Housing Requirement for Lancaster District Tender Brief,Lancaster City Council,  Opportunity,  Open,  North West,"  20 May 2024, 12pm",  £1,"  22 April 2024, last edited 24 April 2024"
Lancaster District Gypsy and Traveller and Travelling Showpeople Assessment,Lancaster City Council,  Opportunity,  Open,  North West,"  20 May 2024, 12pm",  £1,"  22 April 2024, last edited 24 April 2024"
Lancaster District Strategic Housing Market Assessment Project Brief,Lancaster City Council,  Opportunity,  Open,  North West,"  20 May 2024, 12pm",  £1,"  22 April 2024, last edited 24 April 2024"
Employee Assistance Programme,University of Hertfordshire,  Opportunity,  Open,  AL10 9AB,"  24 May 2024, 12pm","  £200,000",  24 April 2024
Indoor and Outdoor Catering and Bar Provision within Walton Hall and Gardens,Warrington Borough Council,  Opportunity,  Open,  United Kingdom,"  21 May 2024, 12pm",  £0,  24 April 2024
CWC24037 ATAC Supply  of Automotive Equipment,Wolverhampton City Council,  Opportunity,  Open,  England,"  29 May 2024, 12pm","  £0 to £140,000",  24 April 2024
Provision of Early Intervention and Prevention Support for people with learning disabilities and autistic adults,London Borough of Barnet,  Opportunity,  Open,  London,"  28 May 2024, 12pm","  £2,058,000",  24 April 2024
Domestic Abuse Needs Assessment,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  15 May 2024, 12pm","  £0 to £25,000",  24 April 2024
Marden Parish Council - Parish Hall Development,W ARCHITECTURE LIMITED,  Opportunity,  Open,  West Midlands,"  10 June 2024, 12pm","  £500,000","  22 April 2024, last edited 24 April 2024"
Blackburn and Darwen Town Centres Heat Network Feasibility Study,Blackburn with Darwen Borough Council,  Opportunity,  Open,  England,"  24 May 2024, 12pm","  £100,000",  24 April 2024
WCC - Haulage of Food Waste from Warwickshire County Council Collection Points,Warwickshire County Council,  Opportunity,  Open,  West Midlands,"  30 May 2024, 12pm","  £1,800,000",  24 April 2024
Plymouth District Heat Cluster Feasibility Study,West of England Combined Authority,  Opportunity,  Open,  Any region,"  17 May 2024, 12pm","  £25,000",  24 April 2024
EKFB Highways Kerbing Paving & Parking Bays - G2S AS,"Eiffage Kier JV HS2 Main Civils Works, Lots C2 & C3",  Opportunity,  Open,"  East Midlands, West Midlands, South East","  10 May 2024,  5pm","  £250,000 to £500,000",  24 April 2024
Ascent Homes- Block & Beam- Hadston,Advance Northumberland Limited,  Opportunity,  Open,  United Kingdom,"  17 May 2024, 11:59pm","  £700,000",  24 April 2024
SECTIONAL OVERHEAD SHUTTER DOOR  REPLACEMENT,Nottinghamshire County Council,  Opportunity,  Open,  East Midlands,"  22 May 2024, 12pm","  £120,000","  24 April 2024, last edited 24 April 2024"
Carisbrooke Primary School Yr R Roof Replacement,Isle of Wight Council,  Opportunity,  Open,  South East,"  22 May 2024,  2pm","  £300,000",  24 April 2024
Revolving Credit Facility,Loughborough University,  Opportunity,  Open,  East Midlands,"  31 May 2024, 12pm","  £1,050,000",  24 April 2024
SIO Development Programme,Leicestershire Constabulary,  Opportunity,  Open,  LE19 2BX,"  17 May 2024, 12pm","  £80,000 to £140,000",  24 April 2024
William Morris and Benedict Road Caretaker House HMO Conversions,London Borough of Merton,  Opportunity,  Open,  England,"  15 May 2024,  5pm",  £0,  24 April 2024
Demand Management and Renewables DPS,Crown Commercial Service,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","  25 November 2026,  3pm","  £800,000,000","  28 September 2022, last edited 24 April 2024"
"Supply of Corporate Gifts, Promotional and Branded Merchandise",The University of Warwick,  Opportunity,  Open,  CV4 8UW,"  16 May 2024, 12pm",  £0,"  18 April 2024, last edited 24 April 2024"
Fixed Wire Testing,LIFECYCLE MANAGEMENT GROUP LIMITED,  Opportunity,  Open,  GL1 3NN,"  27 May 2024,  2pm",  £0,  24 April 2024
Short Breaks Activity Voucher and Online Booking System for Children and Young People with Disabilities and Additional Needs and Their Parents/Carers,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  14 May 2024, 12pm","  £0 to £190,000","  15 April 2024, last edited 24 April 2024"
RMBC - CD - For the Provision of Design Services Chertsey Town Centre Improvements,Runnymede Borough Council,  Opportunity,  Open,  KT15 2AH,"  15 May 2024, 12pm","  £18,000 to £20,000",  24 April 2024
Business Support Consultancy Framework 2024,Sefton Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £60,000",  24 April 2024
Digital CCTV Control Room and Camera Replacement,Redcar & Cleveland Borough Council,  Opportunity,  Open,  North East,"  17 May 2024,  2pm",  £0 to £1,"  28 March 2024, last edited 24 April 2024"
NNC RFQ for a new Water Play Installation in Sywell Country Park,North Northamptonshire Council,  Opportunity,  Open,  NN6 0QX,"  13 May 2024, 12pm","  £10,000 to £35,000","  25 March 2024, last edited 24 April 2024"
CJ1872 - Liesure Cleaning,Wiltshire Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £400,000",  24 April 2024
"Technical, Environmental and Commercial Services (TECS) Framework",Environment Agency,  Early engagement,  Open,  Any region,  13 May 2024,Publication date 24 April 2024,None
Request for Information (RFI) Hotel Property Management System,The University of Warwick,  Opportunity,  Open,  CV4 7AL,"  13 May 2024, 12pm",  £0,"  16 April 2024, last edited 24 April 2024"
Link 22 Mobile Test System Requirement - Request for Information (RFI),Ministry of Defence,  Future opportunity,  Open,  Any region,Approach to market date  3 May 2024,  £0,"  18 April 2024, last edited 24 April 2024"
HBB Transflex Joint Replacement,Hull City Council,  Opportunity,  Open,  HU1 2AA,"  24 May 2024, 12pm","  £250,000",  24 April 2024
Out of Hours Call Handling Service,Orbit Group Limited,  Opportunity,  Open,  England,"  23 May 2024, 12pm","  £300,000",  24 April 2024
E-Commerce Re-platform,Ordnance Survey,  Early engagement,  Open,  SO16 0AS,  24 July 2024,"Publication date 24 April 2024, last edited 24 April 2024",None
Project Title: the provision of Bank Retention works Conway Crescent Colwick,Gedling Borough Council,  Opportunity,  Open,  NG5 6LU,"  15 May 2024, 12pm",  £0,  24 April 2024
Nacro Housing Systems project,NACRO,  Opportunity,  Open,  England,"   7 June 2024, 12pm","  £450,000","  23 April 2024, last edited 23 April 2024"
Grange - Lindale Road Flood Alleviation Project Phase 2 (Completion),Westmorland and Furness Council,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £650,000",  23 April 2024
LiveWest Energy Efficiency Retrofit Contracts,Echelon Consultancy Ltd,  Opportunity,  Open,  South West,"  23 May 2024, 12pm","  £274,300,000",  23 April 2024
Developing the Sandwell Story and the Sandwell Strategic Partnership,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DB,"   8 May 2024,  3pm","  £50,000 to £75,000","  23 April 2024, last edited 23 April 2024"
HAR5962C Housing Pipeline Tranche 3,Tower Hamlets,  Opportunity,  Open,  England,"  24 May 2024, 12pm",  £0,  23 April 2024
HAR5962B Housing Pipeline Sites Tranche 2,Tower Hamlets,  Opportunity,  Open,  England,"  24 May 2024, 12pm",  £0,  23 April 2024
HAR5962A Housing Pipeline Sites Tranche 1,Tower Hamlets,  Opportunity,  Open,  England,"  24 May 2024, 12pm",  £0,  23 April 2024
Down's Syndrome Screening Quality Assurance Support Service (DQASS),NHS England,  Opportunity,  Open,  LS1 4AP,"  30 May 2024,  3pm","  £1,110,000",  23 April 2024
LSE  Laundry Service Provision and Associated Products,The London School of Economics and Political Science,  Opportunity,  Open,  London,"   9 May 2024, 12pm","  £100,000",  23 April 2024
Procurement for the provision of a Community Equipment Service (CES) and Technology Enabled Care and Support (TECS),Devon County Council,  Opportunity,  Open,  EX2 4QD,"   7 June 2024, 12pm","  £64,812,391",  23 April 2024
BTHE2378 - BRI Autronica Fire Alarm Upgrade,Bradford Teaching Hospitals NHS Foundation Trust,  Opportunity,  Open,  BD9 6RJ,"   8 May 2024,  2pm","  £1,000,000 to £1,400,000","   3 April 2024, last edited 23 April 2024"
931580 Adaptation to a property located in Chesterfield,Derbyshire County Council,  Opportunity,  Open,  England,"  21 May 2024, 11am","  £65,000",  23 April 2024
"Water Hygiene Services for NCG - Lot 2, Treatment",NCG Corporation,  Opportunity,  Open,  Any region,"  25 June 2024, 12pm","  £600,000",  23 April 2024
"Water Hygiene Services for NCG - Lot 1, Consultancy",NCG Corporation,  Opportunity,  Open,  Any region,"  25 June 2024, 12pm","  £480,000",  23 April 2024
Castleton House and Farnworth House Fire remediation and Associated works,EastendHomes Limited,  Opportunity,  Open,  London,"  24 May 2024,  5pm","  £5,000,000",  23 April 2024
Hans Rausing Lecture Theatre Upgrade,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  14 May 2024,  5pm","  £0 to £230,000",  23 April 2024
CA13964 - Bury College - Water compliance Services Risk Assessment and Testing (Legionella),Bury College,  Opportunity,  Open,  BL9 0BG,"  28 May 2024,  5pm",  £0,  23 April 2024
Professional services for the provision of a new Bicycle store and a recycling store,Historic England,  Opportunity,  Open,  SN2 2EH,"  17 May 2024,  5:30pm",  £0,  23 April 2024
The Provision of Air Conditioning and Comfort Cooling Systems Maintenance,Loughborough University,  Opportunity,  Open,  East Midlands,"  14 June 2024,  1pm","  £600,000",  23 April 2024
CA13969 - Cheshire College S&W - Quick Quote - WATER COMPLIANCE SERVICES RISK ASSESSMENTS AND TESTING,Cheshire College South and West,  Opportunity,  Open,  CH65 7BF,"   3 May 2024, 12pm",  £0,  23 April 2024
Provision OF Iveco Parts and Vehicle Repairs,City of Doncaster Council,  Opportunity,  Open,  DN1 3BU,"  23 May 2024, 12pm",  £1,  23 April 2024
Commercial Responsive Boiler and Heating Components 2,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   3 May 2024, 12pm","  £720,000",  23 April 2024
Graven Hill - Home Zone 2 (27) Build,Graven Hill Village Development Company,  Opportunity,  Open,  South East,"  31 May 2024,  5pm","  £5,587,724",  23 April 2024
708933450 PORT AGENCY CONTRACT CYPRUS (PACC): DPQQ CN,Ministry of Defence,  Opportunity,  Open,  Any region,"  17 May 2024, 10am","  £45,000,000 to £48,500,000","  17 April 2024, last edited 23 April 2024"
Long Term Agreement for Travel Management Services,ARK GROUP DMCC,  Opportunity,  Open,"  United Kingdom, Europe, Rest of the World","  20 May 2024,  4pm",  £0,  23 April 2024
Mobile Judgement Range 2024,Metropolitan Police Service,  Opportunity,  Open,"  London, South East","   3 June 2024, 12pm","  £380,000",  23 April 2024
UK Shared Prosperity Fund E39 Green Skills courses - Inclusive Recruitment programme,South Oxfordshire District Council,  Opportunity,  Open,  England,"  20 May 2024,  5pm","  £0 to £70,000",  23 April 2024
PAN2916 - Construction Framework,Leicester City Council,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £76,990,000","  25 March 2024, last edited 23 April 2024"
"Pre-Entry Medical Assessment Services For the Royal Navy, Royal Marines and Reserves",Ministry of Defence,  Opportunity,  Open,  Any region,"  28 May 2024, 12pm","  £8,275,833.33",  23 April 2024
Fire Alarm Upgrade - Dental Hospital,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,  Opportunity,  Open,  NE1 4LP,"  24 May 2024, 12pm","  £800,000",  23 April 2024
NCC1295 East Ord Groundworks & Enabling Works,Advance Northumberland Limited,  Opportunity,  Open,  North East,"  21 May 2024, 12pm","  £2,000,000",  23 April 2024
CS090-VR Headset & Systems,Bath Spa University,  Opportunity,  Open,  South West,"  27 May 2024,  9am","  £250,000",  23 April 2024
Collection and Disposal of Tankered Liquid Waste - HDG/2024/682,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  23 May 2024, 12pm","  £97,375",  23 April 2024
"CARRIAGEWAY OVERBANDING, SCREED PATCHING, AND EXTRUDER LINING",Wirral Borough Council,  Opportunity,  Open,  England,"   8 May 2024, 12pm","  £200,000",  23 April 2024
"REPLACMENT FIRE RATED & NON-FIRE RATED TIMBER DOORSETS, DOOR ASSEMBLIES & DOOR LEAVES & ASSOCIATED WORKS",Cheltenham Borough Council,  Opportunity,  Open,  GL50 9SA,"  14 May 2024,  5pm","  £0 to £285,000","  15 April 2024, last edited 23 April 2024"
Service and Maintenance of Domestic Central Heating Systems and Industrial Gas Burners,University of Birmingham,  Opportunity,  Open,  B15 2TT,"  22 May 2024,  1pm","  £400,000 to £600,000",  23 April 2024
UK Shared Prosperity Fund E39 Green Skills courses South and Vale,South Oxfordshire District Council,  Opportunity,  Open,  England,"  20 May 2024,  5pm","  £0 to £74,499","  23 April 2024, last edited 23 April 2024"
"Vehicle Parts, Tyres, Lubricants & Workshop Equipment",THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,  Opportunity,  Open,  United Kingdom,"  28 May 2024, 12pm","  £0 to £75,000,000",  23 April 2024
Tennis Development Operator,London Borough of Merton,  Opportunity,  Open,  England,"  10 May 2024, 12pm","  £60,000","   3 April 2024, last edited 23 April 2024"
Garage Refurbishment Works 2024-26,Folkestone and Hythe District Council,  Opportunity,  Open,  South East,"  17 May 2024,  1pm","  £60,000",  23 April 2024
Phase 2 Tees Tidelands Footpath Crossing: Working in partnership to deliver Green Infrastructure,Natural England,  Opportunity,  Open,  North East,"  31 May 2024, 12pm","  £1 to £18,500",  23 April 2024
Sexual Assault Referral Centre (SARC) in Dorset to NHS England South West,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Opportunity,  Open,  South West,"  24 June 2024, 12pm","  £6,300,000",  23 April 2024
Cambridge City Council - Bin Storage,Cambridge City Council,  Opportunity,  Open,  England,"  20 May 2024, 12pm","  £45,000 to £60,000",  23 April 2024
Surgery Reconfiguration in Essex,Braintree District Council,  Early engagement,  Open,  CM7,  22 May 2024,Publication date 23 April 2024,None
Provision of Environmental Consultancy Services to the Commonwealth Secretariat's London office,Commonwealth Secretariat,  Opportunity,  Open,  SW1Y 5HX,"   1 May 2024, 12pm","  £1 to £66,000","  11 April 2024, last edited 23 April 2024"
Sexual Assault Referral Centres (SARCs) to NHS England South East,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Opportunity,  Open,  South East,"  24 June 2024, 12pm","  £49,714,000",  23 April 2024
GB-Peterborough: CITB Construction Project Lead Service 2025-2030,Construction Industry Training Board,  Opportunity,  Open,  East of England,"  10 May 2024,  4pm","  £100,000 to £500,000",  23 April 2024
NUN - Leisure Management Operator Services,Nuneaton and Bedworth BC (NUN),  Opportunity,  Open,  CV11 5AA,"   7 June 2024, 12pm","  £0 to £52,000,000","  23 April 2024, last edited 23 April 2024"
Provision of Employment Law and Human Resources Service for The Royal Hospital Chelsea,ROYAL HOSPITAL CHELSEA APPEAL LIMITED,  Opportunity,  Open,  SW3 4SR,"  20 May 2024, 10am","  £60,000",  23 April 2024
Luminate Education Group -Smoothwall Monitor Managed Services (Renewal),Leeds City College,  Opportunity,  Open,  LS3 1AA,"  23 May 2024, 12pm",  £0,  23 April 2024
UKRI-3681 MOONS Instrument Packaging and Shipment to Chile.,UK Research & Innovation,  Opportunity,  Open,  Any region,"  28 May 2024,  2pm","  £204,551.52",  23 April 2024
Void Property Clearance & Cleansing Services Contract,THE HAVEBURY HOUSING PARTNERSHIP,  Opportunity,  Open,  East of England,"  22 May 2024, 12pm","  £780,000",  23 April 2024
Dare to Lead Cohorts (Training) 2025-2026,South Tees Hospitals NHS Foundation Trust,  Opportunity,  Open,  TS4 3BW,"  10 May 2024, 12pm","  £30,000",  23 April 2024
CS093-Summer School Cleaning Contractors,Bath Spa University,  Opportunity,  Open,  South West,"  10 May 2024,  5pm","  £90,000",  23 April 2024
WNC Nightly Purchased Temporary Accommodation DPS,West Northamptonshire Council,  Opportunity,  Open,  East Midlands,"  28 May 2024, 12pm","  £30,000,000",  23 April 2024
Leics. Police IT Health Checks,Leicestershire Constabulary,  Opportunity,  Open,  LE19 2BX,"  24 May 2024, 12pm","  £100,000 to £150,000",  23 April 2024
For the Provision of Tree Works & Surveys,First Choice Homes Oldham,  Opportunity,  Open,  North West,"  23 May 2024,  1pm","  £400,000",  23 April 2024
"Invitation to Tender for the Design, Supply and Install of an Inclusive Play area at the Child Development Centre (Kempston)",Bedford Borough Council,  Opportunity,  Open,  MK42 9AP,"   7 May 2024, 12pm",  £0,"  25 March 2024, last edited 23 April 2024"
Cambridgeshire County Council SEND Provider Forum 30th April 2024,Cambridgeshire County Council,  Early engagement,  Open,  East of England,  29 April 2024,Publication date 23 April 2024,None
